empId,role,status,name,passwordHash,unifiedGroup,createdAt,lastLogin
M001,Master,Active,Dr. Sarah Martinez,8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918,MASTER_GROUP,2024-01-01 08:00,2025-01-20 14:30
M002,Master,Active,Dr. James Wilson,8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918,MASTER_GROUP,2024-01-01 08:00,2025-01-19 16:45
P001,Pharmacist,Active,Emily Chen,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-01-05 09:00,2025-01-21 08:15
P002,Pharmacist,Active,Michael Roberts,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-01-05 09:00,2025-01-21 07:45
P003,Pharmacist,Active,Priya Sharma,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-01-10 10:00,2025-01-20 22:30
P004,Pharmacist,Active,David Kim,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-01-15 11:00,2025-01-20 18:00
P005,Pharmacist,Active,Lisa Thompson,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-02-01 09:30,2025-01-21 06:00
N001,Nurse,Active,Jessica Anderson,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-01 08:00,2025-01-21 14:00
N002,Nurse,Active,Robert Lee,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-01 08:00,2025-01-21 06:30
N003,Nurse,Active,Maria Garcia,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-03 09:00,2025-01-21 14:15
N004,Nurse,Active,John Miller,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-05 10:00,2025-01-21 06:45
N005,Nurse,Active,Aisha Patel,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-08 08:30,2025-01-21 14:30
N006,Nurse,Active,Carlos Rodriguez,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-10 09:00,2025-01-21 22:00
N007,Nurse,Active,Emma Johnson,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-12 10:30,2025-01-20 22:15
N008,Nurse,Active,Kevin Wong,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-15 11:00,2025-01-21 06:00
N009,Nurse,Active,Sophia Martinez,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-18 09:30,2025-01-21 14:45
N010,Nurse,Active,Daniel Brown,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-01-20 10:00,2025-01-20 22:30
N011,Nurse,Blacklisted,Rachel Green,478c67e2c5836d1f0856c455f3d946eb3c7a6d1c04f16f0b0e5c0b5b4a6f6c1d,NURSE_GROUP,2024-02-01 08:00,2025-01-10 12:00
P006,Pharmacist,Blacklisted,Thomas White,d74ff0ee8da3b9806b18c877dbf29bbde50b5bd8e4dad7a3a725000feb82e8f1,PHARMACIST_GROUP,2024-02-05 09:00,2025-01-15 14:30
